Category,Title,Location,Amount_Raised,Goal,Days_of_Fundraising,Number_of_Donors,FB_Shares,Text
Animals,Save Anthony,"San Diego, CA",40755.0,50000.0,63,484,933,"Anthony Sinsay and his family have had a tragic series of events and are in need of help. Anthony and his wife are both chefs who met in the culinary world. Anthony has worked as the executive chef for many restaurants along the Pacific Coast, sharing his Filipino culture with the community. He is known for his strong advocacy for sustainable eating and supporting local farmers and businesses, as well as his appearances on shows such as Bizarre Foods with Andrew Zimmern. His wife, unfortunately, developed debilitating carpal tunnel syndrome and had to leave the culinary industry. She is currently going back to school to transition to a new field, and the family is getting by on a single income. However, in November of 2019, Anthony was diagnosed with late-stage cancer and had to immediately begin intense chemotherapy and radiation treatments. Disability pay and rising medical bills put a severe burden on them, but they were able to persevere with help from close friends and family members. Their world was upended again this summer when Anthony was let go as an executive chef because of the economic strain COVID-19 has placed on restaurants. Anthony and his family are now left without employer-provided medical insurance and seemingly insurmountable medical bills, even with family members giving what they can financially.Any amount is greatly appreciated and will go towards paying for Anthony’s life-saving treatment and providing for their family. This fundraiser is being hosted by Anthony’s brother-in-law in San Diego, CA at their request, as they have plenty else they are dealing with at the moment."
Animals,Paying tribute to Faith,"San Diego, CA",9739.0,10000.0,58,148,280,"On September 26th, 2020, Faith Gutierrez was called to heaven too soon. She was full of life and laughter to all of those surrounded by her. Her passing was very unexpected.. We are asking for donations to give her the beautiful services she deserves. All donations will go towards the funeral expenses, and the left over donations will be given to Faith's mother, Yvonne Perez.Please keep our family in your thoughts and prayers during this difficult time."
Animals,Please Help Our Protestors!,"San Diego, CA",1346.0,6000.0,84,36,52,"As many of you are aware, many protesters were brutally injured and wrongly detained by SDPD on Friday August 28th, 2020 . Protester bails were exorbitant due to deliberate actions by the District Attorney that were designed to punish us simply for exercising our First Amendment rights—some bails even reached $750,000. The district attorney continuously extended the bail by 44 cents after posting bail causing the bail to be rejected resulting in keeping protesters locked away for an extra 4-10hours. They were denied adequate medical care, adequate food, and water the entire process. Protesters were not mirandized, were unlawfully searched, and consistently antagonized by police officers and correctional officers. Not only were protesters beaten and dehumanized by police officers, their belongings were stripped from them to not be returned including: phones, watches, precious jewelry, wallets, backpacks, and cameras. Protesters were originally told they could collect their things after being released, and received property releases only for the  district attorney to void them the very next morning stating the items were needed as evidence. As we demand the end of policing, we must have each others backs as a community. This purpose of this fundraiser is to help alleviate the financial impact caused by the cruel callous institution many of us are protesting against, as well as a source of aid to comrades who are low income, homeless, or without employment. Any donation is beyond greatly appreciated and we thank you greatly."
Animals,Claire’s Diabetic Alert Dog,"San Diego, CA",8000.0,7954.0,447,94,142,"After a year dealing with the highs and lows, we have decided with some big help from family and friends, that we are going to get a diabetic alert dog for our bear.   Diabetic alert dogs serve as an additional safety net to the life threatening highs and lows she deals with everyday.  We have put a down payment down and now are on a waitlist. We have several months at least to raise the rest of the funds. We don’t expect anything but appreciate ANY help given, even any kind words or shares. We didn’t go into this decision lightly, it is a lot of money, it is a commitment to providing all we can for our girl. Thank you ❤️"
Animals,Services for Docsbabe,"San Diego, CA",637.0,2500.0,35,13,6,I had to use a picture and Nina's FB page is down. This money is for her daughter Tammy to help with funeral expenses. I will not receive any money. Please help as you can
Animals,Marie Eberle Memorial Fund,"San Diego, CA",8455.0,8000.0,78,94,569,"VERONICA MARIE EBERLEYou will be greatly missed. Anyone who has been blessed to be a part of Marie's life would agree that she is the most welcoming, loving, hard-working, hilarious, kind, genuine friend we know. She is beautiful inside and out. Teaching us to strive and push forward is what Marie did best. She has touched so many lives in so many ways. I wish for her memory to live on in all of us.We are kindly asking for donations to help cover the costs of Marie's memorial service.  We need to raise $8000 by September 30, 2020 in order to give her the memorial she deserves.  I will be in charge of delivering donations to her family. Thank you all so so much in advance for all the help you can offer to her family. They could use all the love, prayers, and positive energy right now. Cristle Evangelista"
Business,Du Nord Riot Recovery Fund,"Minneapolis, MN",773884.0,1000000.0,178,11.3K,13.8K,"On the evening of May 25th, 2020, George Floyd was killed by Minneapolis Police. Thousands of people have come to the street to protest and make their voices heard. Following the beautiful peaceful protests, riots overtook the city and the Lake Street Corridor:a beacon for multiculturalism, black and brown entrepreneurship and the rise of family owned businesses. Much is lost.We have received a tidal wave of love and support from across the nation and many have asked how they can help. Thanks to the support we have received and an impending insurance claim, we feel funds would be better directed to our sister businesses in distress. Therefore, Du Nord is establishing this fund to support black and brown companies affected by the riots. In the coming days we will add to the leadership team to bring in more business owners and community leaders.  We are dedicated to rebuilding Minneapolis in a way that ensures our cultural beacons are restored.No purchase, payment, or contribution is necessary to enter or win and will not improve chances of winning. Void where prohibited. Entries must be received by July 8, 2020. Enter by contributing here or email [email redacted] and put “Du Nord Riot Recovery Fund” in the subject line to enter without contributing. 1 winner will receive the following prize package: a hand-drawn map of the United States drawn and autographed by Al Franken (approx. retail value $3,000). Odds depend on number of entries received. Promotion open only to U.S. citizens, or lawful permanent U.S. residents who are legal residents of 50 United States, District of Columbia and Puerto Rico and 18 or older (or age of majority under applicable law). View full official rules at https://alfranken.com/terms-and-conditions-for-the-du-nord-riot-recovery-fund-contest. Sponsor: Al Franken, Inc., P.O. Box 583502, Minneapolis, MN, 55458- Du Nord Craft Spirits owner, Chris Montana"
Business,Support the Stonewall Inn,"New York, NY",323417.0,400000.0,165,8K,18.4K,"We are reaching out because like many families and small businesses around the world, The Stonewall Inn is struggling. Our doors have been closed for over three months to ensure the health, safety, and well-being of patrons, staff and the community. Even in the best of times it can be difficult to survive as a small business and we now face an uncertain future. Even once we reopen, it will likely be under greatly restricted conditions limiting our business activities.  As you may be aware, The Stonewall Inn is the first national gay historic landmark and the birthplace of the modern day LGBTQ rights movement.  We celebrate and pay homage to those individuals who first stood up for gay rights and sparked the Stonewall Riots. Those brave souls who first stood up for their rights and the rights of others, triggered a global movement that continues to be celebrated world-wide via gay pride celebrations and parades.We resurrected the Stonewall Inn once after it had been shuttered- and we stand ready to do it again- with your help. We worked diligently to resurrect it as a safe space for the community and  to keep the Stonewall Inn at the epicenter of the fight for the LGBTQ+ rights movement. It has been a community tavern, but also a vehicle to continue the fight that started there in 1969. Stonewall is the place the community gathers for celebrations, comes to grieve in times of tragedy, and rally to continue the fight for full global equality.Today, we are asking you to help Save Stonewall!  The Stonewall Inn faces an uncertain future and we are in need of community support. The road to recovery from the COVID 19 pandemic will be long and we need to continue to safeguard this vital piece of living history for the LGBTQ community and the global human rights movement and we now must ask for your help to save one of the LGBTQ+ communities most iconic institutions and to keep that history alive. Thank you and we greatly appreciate your support during these difficult times for all of us."
Business,Support for Flora’s Hair Design,"Minneapolis, MN",251795.0,300000.0,178,4.8K,4K,"Flora Amos-Westbrook owned Flora's Hair Design for four decades until her dream came crashing down. On May 29, Flora's Hair Design was burned to the ground due to civil unrest in Minneapolis, Minnesota. Flora's Hair Design has been a pillar on Broadway Avenue where men, women and children came to get beautified and  had history lessons from elders in the community. Flora has exhausted all of her energy and savings in building the community, creating jobs for entrepreneurs and aiding in generational wealth. Flora's Hair Design  has been in business from Afros to box braids and now needs your help to rebuild and make the community better. The plan now is to create a safe space that is better than ever for beauticians, esthetician and barbers to come fresh out of cosmetology school to change the community one hairstyle at a time."
Business,Please Help Hicklebee's Stay Alive,"San Jose, CA",243346.0,300000.0,182,2.3K,15.4K,"Hicklebee's: Where Books Come AliveIn 1979 four mom-friends seeking to find a balance between work and family rented a small space on the west side of Lincoln Avenue, filled it with children’s books and called it Hicklebee’s. The name, they said, described the final metamorphic stage of a bookworm. In its early years, the store established itself as a neighborhood living room of sorts. Readers, non-readers, paying customers or passersby, Hicklebee’s welcomed all.Eventually, two partners would leave, another would join in, and for the last 30 years, we would remain: a sister team who set out to make the name Hicklebee’s synonymous with quality, community and a commitment to literacy for all.Over 41 years Hicklebee’s has continued to operate through recessions, the Loma Prieta earthquake, the advent of Big Box stores and the aggressive business practices of a certain online retailer (ahem). Still, we persisted.       In March when schools closed and non-essential businesses were shuttered, we made the case that books are essential and partnered with the Santa Clara County Office of Education to create the Keep Kids Reading Book Drive- a campaign to put books into the hands of students during the Covid-19 crisis. To date, the program has delivered bags of books to nearly 400 families in need. Which brings us to this campaign.Hicklebee's has stayed open in a limited capacity during this pandemic, and while we have been working hard taking orders, shipping books and offering curbside delivery, the loss of foot traffic, community events and school business has been financially devastating. The money raised from this campaign will cover those losses as well as operating costs, including payroll, through August. It will also give us time to prepare for the return of school, for our doors to open, and to welcome our community back home.We believe that Hicklebee’s is as essential to its community as the gift of reading it offers you.We are grateful to our community and look forward to recommending your favorite books for years to come. Be well, and stay safe.Monica Holmes and Valerie LewisA few highlights from our history in Willow Glen and in the bookselling community over the past 41+ years:   - As new members of the Willow Glen Merchants Association, we joined the movement to plant trees along Lincoln  Avenue, laying the groundwork for a revitalized Willow Glen and planting the seeds- literally- for the thriving Avenue that exists there today.    - We were key organizers of the first Willow Glen farmers market.    - We have hosted major public events throughout the years, that feature local and international authors and dignitaries for our entire community.        - Hicklebee’s has worked with publishers, authors and national media to encourage literacy as well as diversity in children’s books.    - We have appeared on television, radio, in periodicals and published books to promote literacy.   - Hicklebee’s has received coveted local and national awards including The Small   Business of the Year Award 2009 presented by Senator Joseph Simitian and The Pannell Award from the Women’s National Book Association in 2019 and 2004. The Pannell jury wrote:   “The winner in the Children’s Specialty Bookstore category, Hicklebee’s Bookstore in San Jose, Calif., is celebrating its 40th anniversary this month. It is the gold standard for children’s bookselling and an extraordinary place that outdoes itself every year."""
Business,Everyone Needs an Alibi,"New York, NY",170244.0,250000.0,207,6.6K,2.3K,"Hello All!I am Alexi Minko , the proud owner of Alibi Lounge. My bar is the only openly gay bar in Harlem, and I believe (as of 2019) I am the last black gay-bar owner in Manhattan. Originally from Gabon, I immigrated to NYC in 2006. The queer community of Harlem inspired me to create a safe heaven for everyone in the world, but especially for the LGBTQ community of HarlemMy intention was to provide employment, training, and potential small business ownership skills to the LGBTQ black/latino young adults of Harlem.  Alibi Lounge, in association with Strive International, created a program sponsored by the City of New York offering hospitality career training as a commitment to this goal. This ensured employment to those who achieved their training successfully. We have not gone without our own trials and tribulations. During pride of last year, Alibi Lounge endured a homophobic attack when our rainbow flag was burnt TWICE.  It took two assaults on our community safe space before NYPD made an arrest. Earlier this month our shop was targeted again and our cash register was broken into. Alibi Lounge had been shut down for almost 4 months (due to the pandemic) at the time of this incident. We carried on despite adversity, exhaustion, and financial difficulties relating to COVID-19 , to remain open for almost four years!Today we need your help. Please help us continue to provide a safe, fun, and open space for ALL in Harlem, especially our LGBTQ brothers and sisters. Please help us keep our rainbow flag flying high until this pandemic ends.  Your donation will help me keep my black/latino LGBTQ employees on payroll, pay rent, taxes, and utilities covering the months we quarantined. On behalf of the Alibi family, we can't thank you enough in advance for your generous contributions.Much love,Alibi Lounge"
Business,"Help DIESEL, A Bookstore Keep Going~Johnny 99 Fund","Santa Monica, CA",158641.0,400000.0,83,892,1.6K,"We have always seen our bookselling as an ecology of people, ideas, experiences, places, and conversation.  We are subject to vicissitudes, ups and downs, as part of the wider society and culture, as all of us are.  But Covid-19 has had consequences like no other.We have tried to weather this storm, with creative reinvention, hard work, and perseverance, as we always have.  We’ve managed to keep our booksellers afloat financially and with the necessary health care.  But at this point, our stores are foundering.  We’ve had wonderful support from our customers: ordering books, buying gift certificates, switching to us for their ebooks and streaming audio.  But it is not enough, given our rent, operating expenses and our publisher debt, to sustain us.  So we are asking for your support to restore us to a sustainable level, to make it through this taxing time.  We know we are not alone in struggling to survive.  Many independent businesses lack the resources and financial support to make it through this extended challenge.  Many aren’t making it, and we hope not to be one of them.We have resisted this appeal to our wider community but now we are running out of time.  It is either this, or ending our run as a quality independent bookstore.  If there is anything you can do to help to keep us going, it would be greatly appreciated.  Please contribute if you can.If you would please share this with those you know, far and wide, we may be able to get the support we need.  This is how ecologies work, under strain.  As biologist Robin Wall Kimmerer says “When times are easy and there's plenty to go around, individual species can go it alone. But when conditions are harsh and life is tenuous, it takes a team sworn to reciprocity to keep life going forward.”As Bruce Springsteen says in Johnny 99: “Now judge I got debts no honest man could pay”.We hope to be able to pay our debts, and to keep providing great books and great conversations to our communities for many years to come.  We cherish, and desperately need, your support at this time.Thanks for all of your support these many years.  May there be many more!With Gratitude & Respect,Alison Reid and John EvansDIESEL, A Bookstore"
Business,Save the Ottobar!,"Baltimore, MD",142856.0,200000.0,110,2.5K,8.7K,"Welcome to the GoFundMe site in support of the Ottobar. This counter culture institution opened its doors in 1997 almost 24 years ago. Ottobar began in a small location on Davis St in downtown Baltimore and has grown into the arts and music powerhouse venue known not just to our small gritty East Coast town, but the world. It’s as much a rock club as it is a museum for stickers and flyers from bands that have graced its stage over the many years. For those not in Baltimore, the Ottobar has been a cultural incubator for not just music, but performances of all varieties- It has been a nexus for so many of the creative folx that help to make Baltimore the wonderfully odd and fantastic city that it is. Some may remember, just last summer Tecla purchased the Ottobar in hopes of continuing the legacy of awesomeness that the venue provided to the community over the years. Her vision was to try and preserve Ottobar as it had been while forging ahead with new ideas and plans. Little did we know just what was in store for the music industry as a whole….There are so many venues that are having the same difficulties, and with no foreseeable help on the horizon the outlook is not great for any venue.You may consider donating to this campaign so that we can help her sustain Ottobar, until it is safe to experience live music again- no one wants to lose this cultural icon! Ottobar is an integral part of Baltimore's cultural fabric. The venue is under very real threat- the Covid-19 crisis has the club limping along at approximately 5% of normal. There hasn’t been any sign of it changing any time soon. Ottobar is a place that its community has depended on for many years to provide a vital space for the arts. It has presented THOUSANDS of concerts, poetry readings, book releases, film screenings, flea markets, art opening, spelling bees, and pet weddings to name only a few. The venue has also hosted MANY fundraisers, for social justice organizations, reproductive rights charities, environmental organizations, education in health initiatives and more. Alternative voices, minorities, women, LGBTQ+, everyone is included at Ottobar. We’re hoping this GoFundMe campaign will carry the venues' operations through this worst of times. Funds will be used for employee payroll, rents, basic operations, and supplies needed to protect all staff and guests to ensure their safety. We are deeply grateful to our loyal fans and customers and appreciate both the love and the financial support you have sent our way. Ottobar is and always was, a venue for people to gather and enjoy each other’s company, great drinks and interesting things to see and hear- Baltimore can’t afford to see places like this disappear!"
Business,40 Acres And A Mule Project,"La Crosse, WI",133390.0,250000.0,171,1.6K,4.4K,"The 40 Acres & a Mule Project came into existence when my endeavors and information sharing began to generate interest in the form of monetary support from others, both online and within my local community.  As one of the very few Black restaurant owners in the Coulee Regional area in Wisconsin, I focus my food and efforts on community revitalization through storytelling and civic projects. I have decided to set up a GoFundMe campaign for the 40 Acres & a Mule Project in order to collect money to buy agricultural land. This land purchased will be at least 40 acres and Black owned.  The proceeds of this campaign will:·       purchase of land to guarantee farm to table resources for the food industry; ·       serve to provide an outlet for Black foodways; and, ·       establish a safe haven to secure the legacy of Black foodways.   Historical context The term “40 acres and a mule” was derived from Union General William T. Sherman’s Special Field Order No 15 , issued on Jan. 16, 1865. The reparations movement, which continues to the current day, cites “40 acres and a mule” as the U.S. government's promise to make restitution to African Americans for enslavement. The significance of this promise to Black people was to present a conduit not only to be free, but also to own land and be integrated as a part of the fabric of the United States to achieve a more equal footing.  Freedom, land ownership, and the means to prosper were seen as a significant pathway to empowerment by enabling African Americans to be a part of the economy, create businesses, and community.  Why now?During these troubled times, there is an immediate need to protect and ground ourselves in land that we can call our own. There exists a need to create a legacy for our future generations.  The creation and sustainment of a legacy is one of the most important opportunities I see in the ""40 Acres & a Mule Project"".  It is a great chance to be able to control our narrative and provide educational opportunities to understand our story in food and farming techniques within the hospitality and food industry. My vision is to have a sanctuary to hold the history, food, and stories of Black culture in food and farming.   This land will be used to teach other how to farm, archive Black food ways and the importance of Black farms.  The 40 acres of land will tell the story of how Blacks grew food through our ancestral ways into today. Where will the campaign proceeds go?Any contributions made to the ""40 Acres & a Mule Project"" beyond the needed funds to purchase the land, taxes, and tools for the farm will be made available to Black organizations that concentrate on preserving Black foodways and support Black farmers in purchasing their own land, buy the land they lease, and/or provide assistance to Black farmers for their mortgage payments.Follow my Instagram  dedicated to this project"
Business,Save Ken Sanders Rare Books!,"Salt Lake City, UT",127723.0,250000.0,124,2.3K,6.5K,"Save Ken Sanders Rare Books!Welcome to the GoFundMe site in support of Ken Sanders Rare Books. This counter culture institution opened its doors in Salt Lake City 24 years ago. Beginning with no money, few books, and a teenaged daughter, KSRB has grown into an overflowing powerhouse of an antiquarian bookstore known throughout the Intermountain West, and the world. It’s as much a book shop as it is a museum. It’s a place where Ken’s generosity allows the muse to dwell. For those not in Utah, many of you may have seen Ken Sanders on television from his fourteen years as a rare books and manuscripts appraiser on the popular PBS show, Antiques Roadshow. Ken’s bookshop is an integral part of the very fabric of Utah’s culture. His store is under very real threats, most immediately with the loss of sales due to the Covid-19 crisis that has the store running at approximately 50% of normal sales. We know we are not alone in this, but the pandemic shows no sign of going away any time soon. Please do help by donating to this fundraising campaign, we can’t afford to lose this cultural icon! KSRB is a place that its community has depended on for many years to provide vital resources by way of literature, poetry, music, art, specializing in Utah, Mormon, Native American, and Western history. It carries new, used, and rare books, paper ephemera, photographs, maps, rock and roll posters, letterhead broadsides, t-shirts, and things you never dreamed existed. The store champions natural history and environment, climate change, social justice, sustainability, radical politics, to name a few subjects near and dear to our hearts. Alternative voices, minorities, women, LGBTQ+, everyone is included. In addition to curating collections, appraising books and manuscripts, Ken has contributed to the book publishing world through Dream Garden Press, founded in 1980, to publish regional poets and authors. The store has hosted thousands of events that include concerts by musicians, poetry readings, book release celebrations, and film showings. To name only a few: Edward Abbey, Charles Bowden, Terry Tempest Williams, Wendell Berry, Tom Russell, Rosalie Sorrells, Utah Phillips, and Alex Caldiero’s dazzling performances of Allen Ginsberg’s Howl. Ken specializes in oral story telling, occasional writing, and has been featured in dozens of films and documentaries on notable subjects such as Edward Abbey, Tim DeChristopher, Everett Ruess, Ken Sleight, and Earth First! We’re hoping this GoFundMe campaign will carry the store operations through this worst of times. Funds will be used for employee payroll, employee health insurance, rents, basic store operations, and supplies needed to reduce the risks of Covid-19 to ensure the welfare of the staff and customers. We are deeply grateful to our loyal fans and customers and appreciate both the love and the financial support you have sent our way.  We encourage you to visit the store’s website to learn more about the store’s inventory and activities.Rare Books Need Rare Humans!There are a few reasons why you might contribute to help save Ken Sanders Rare Books which has become endangered due to the Covid-19 epidemic. You might contribute because you know or have met Ken Sanders personally. Maybe you know him as the gentle soul he is - whose dedication to books, art, nature, history and boundless curiosity have proven a priceless, positive contribution to the business of book selling and also to the world.You might contribute because you have a connection to Utah, Salt Lake City, the West and you appreciate the fact that Ken Sanders Rare Books is a portal unlike many other that still exist. Maybe you understand these bookstores and the people that run them are being pulverized between technology and Covid-19 and that being able to spend an afternoon physically rambling through musty stacks is an experience that needs to be preserved.Maybe you’ve seen Ken on Antiques Roadshow and get a kick out the fact that he could expound with deep understanding exactly why and how the 1930 Rockwell Kent illustrated edition of Moby Dick can possibly be worth so much money.Or maybe you’re just a reader and book lover and want to kick in.In any of these cases your contribution will be appreciated and put to good work. Thanks for being a part of saving Ken Sanders Rare Books!  WRITTEN TESTIMONIALS….In a forest, under the ground, there are networks of fungus fibers that connect the roots of trees together, allowing the trees to share information and resources. They're called mycorrhizal networks and they help keep the whole forest healthy. Ken Sanders Rare Books is like one of these underground networks. You walk into his store and you feel connected to healthy forest. Ken is the gnome who guards it. The Amazon Corporation is named after a forest but it has no underground, no roots or fungus. It’s more like a virus that kills trees. If Ken’s store closes, the forest dies. Simple as that, and tragic as the loss of a species. So I will work to help the store stay open. Scott Carrier, Journalist__________________________________________________________________________________________I think of Ken Sanders, as do most who know him, as worthy ofState Treasure status standing as he does at Utah cultural crossroadswhere desert rats, intellectuals, misfits, artists, writers, book worms,poets, philosophers come to weave tales with Ken and discover a newauthor, or a new trail of thinking. The bookshop is where we take visitors when we hope to answer the question:""Why Utah?"" posed by relatives and meaningful friends. They don't knowthat in our minds Ken is a sort of right of passage. If they gasp in wonder atKSRB-- they understand Why-- if they don't -- they never will. I have been a bookstore nut from the time I found Watkins, Foylesin London - Thorpes in Guildford and Hay on Wye in the 60s.They in their turn defined their time and place and reflected the British character for generations. The British bookstore, however, is genteel.  A thing of winter, tea and muffins,wooly scarves, cats and damp tweed.  KSRB is more sand in your hiking boots, thirst, chapstick, rocks in your pockets and brain sort of experience.   For years now I have been ranting on about the misguided plan for developmenton the site of our Utah Treasure. I can only hope that one outcome of this dreadful pandemic and inevitable Depression is that developers will not have their way with the land where Ken's Bookshop stands. It is our best mental watering hole.  Jann Haworth, Artist__________________________________________________________________________________________I can easier imagine a cordiality truce between Mormon crickets and seagulls than a closing of Ken Sanders Rare Books.  Name one other place in Salt Lake City where you can go for a thoroughly invigorating browsing and at the same time get a better half hour gym workout than Ken’s Place, and simultaneously—even though it may be unearned—be greeted and treated as an old friend.  KSRB is a SLC institution with an earned reputation for both inventory and eccentricity and our world would be diminished should this bookstore disappear.That said, as we all know, times are genuinely tough and Ken is having an even harder time than usual holding Yeats’ archetypal center together.  Now it’s time for us to render service and help an old and dear friend out.  I’m going to do my part and make a painful sacrifice: give up a minimum of three days’ worth of Happy Hour in his honor.  I cannot imagine a Utah world worth living in without Ken’s hanging in and being there as a visible icon; can you?David Lee, Apprentice World Class Piddler and Scribbler__________________________________________________________________________________________ I can’t recall the first time I met Ken Sanders, book dealer, river runner, cultural icon. But I remember all the moments since.I remember when he commissioned a family river trip with Moki Mak through Desolation Canyon, with fellow bookman Ken Lopez and his family, writer Scott Carrier and two of his young children, and invited me and the Peacocks: Doug, Laurel and Colin. It was my first big river, and 20 years later still ranks as one of my favorite trips.In the early 2000s, he hosted me for a reading at his store when I published my first book, Libby, Montana: Asbestos and the Deadly Silence of an American Corporation, about the death and destruction that the WR Grace Corporation wrought upon a small, working class town in rural Montana. I was a unknown Montana journalist., He had no reason to expect a profit from that event, but knew it was a story that needed to be told.A few years later, Doug needed back surgery and had no one in Salt Lake to take care of him. Ken took him to and from the airport and the hospital, made sure he had a place to recover and fed him all the while. Then, in 2010, Doug’s cousin Marc Beaudin and I had this half-baked plan to open a used bookstore in Livingston, Montana. Ken graciously, generously answered our questions from Day 1, and saw us through those first rocky years, providing references for scholarships, guiding us through our first book fairs, and ultimately sponsoring our application to the Antiquarian Bookstore Association of America. There is no better ambassador in America for the next generation of rare book dealers.Ken Sanders is simply irreplaceable.Andrea Peacock, Author, Activist, Bookseller__________________________________________________________________________________________ Few bookstores still exist that satisfy the craving for the smell of old paper, places where you can nose through stacks and magically, the book you need appears, even if it’s not the one you came in for. References and histories, rare books on order, entrance busy with every manner of human from the drunk to the erudite, and sometimes drunkenly erudite. If your city is fortunate enough to have one of these, I’d do everything I could to keep it.The community of Ken Sanders Rare Books extends past this city to all of the West, part of my life in my little dot of Colorado, and part of so many more authors’ lives, an avenue for counterculture and wilderness. Stories have poured through here to packed houses, every aisle and seat filled, a microphone up front, a reader, a singer on guitar, or sometimes only a handful in the audience, each rapt, so glad they came. Run by Ken Sanders himself, bearded guffawing laureate of literature from the Rockies to the sea, this shop is a cultural necessity. Historians may talk someday of how western society was nudged along by this man, by the tales he promoted and the eclectic range of books he brought to us. Keep this place alive. Don't give it new digs or put its name up in lights. Keep it as is. The next generation will need it even more.Craig Childs, Performance Author__________________________________________________________________________________________The pulse tells you a lot about the health of a body. A bookstore is the pulse of a city. KSRB has been telling us a lot about the health of local culture. At this time, the health of the city is not good. This is reflected in the health of our bookstores, and especially KSRB. For the past 24 years (a family-owned shop since 1997), KSRB has held its own. Now it needs a helping hand.This is not just a “book store” I’m talking about; not merely a venue for books. There are stores with books in them, and there are “book stores” (stores that sell books, as some stores sell shoes, or fish, or groceries). Then again there is the real McCoy: BOOKSTORE (one word). Today, there are fewer and fewer “bookstores”, that is to say, not merely a venue that sells books, but a PLACE where books wait for readers, and create a backdrop for cultural exchanges that promote art, poetry, film, and literary events. Add to these, rare and the collectible objects and artifacts, and you have a BOOKSTORE: KEN SANDERS RARE BOOKS, the real McCoy.On a personal note: my life both as reader and writer, would be a lot poorer if I had never entered this place. The major interactions and contacts with my community of readers and fellow poets/writers/filmmakers/ has been fostered by the physics of this place. This “bookstore” and the soul of the place, Ken Sanders himself: flesh and voice and beard ever growing wild.Given all of the above, to say that I endorse KSRB and efforts to save it, is an understatement. Let my voice join the chorus: LONG LIVE KSRB and may we preserve the health of our Salt Lake City.Alex Caldiero,Senior Artist in Residence at UVU and ever, your friendly naybohood sonosopher___________________________________________________________________________________________ Exploring Ken’s book store is like going on a weird Safari in a library after an earthquake.  There are books piled high, books tumbling down, books that rattle your very foundation. It is exciting and dangerous and it is one of my favorite places in the whole damn universe.  The universe needs Ken’s book store to keep things in balance.  If the store goes the way of the wind it could mean the end of the world!  It is not just an institution, it is a vortex of madness, a depository of all the great ideas that have ever been and an incubator for the brilliance to come.  Hell, Ken even sells my movies!  Trent Harris, Filmmaker"
Business,Save The Bookstore,"Lenox, MA",122528.0,120000.0,107,1.1K,3.4K,"Hello Bookstore friends near and far,Wondering how things are going at The Bookstore during the pandemic?  They’re not going well, my friends. When I think of the many roads I took to become your bookseller here in Lenox, I cannot imagine who or what else I might have become. It’s always felt to me a perfect fit, and to judge from the loyalty you have shown through the years, you think so, too. With that in mind I am appealing today for your help.As busy as we are every day – and yes, we are thankful we’re busy - the fact is this: business is down, way down.  Sales each week are what they used to be each day.Our well-known slogan says that The Bookstore has been Serving the Community Since Last Tuesday, but as many of you know I’ve actually been here since April 1, 1976, sitting at that front desk, happy to provide you with all those things that make our bookstore The Bookstore: the book you may not have known but fell in love with; the glass of wine at Get Lit; the poetry reading or book signing event that reminds you of the large presence in your life that is this small shop on Housatonic Street.We belong to each other, you and I. If you live nearby we usually see you pretty regularly. If you’re a part-timer, or a summer renter, or a weekender or just an accidental visitor, chances are if you came through our door once, you’ve probably come back again and again. In the old days I might have sold books to your parents or grandparents.  Today I’m selling them, curbside, to you, to your children and grandchildren.  But if I want to continue, and if you want me to continue, I am going to need your help.  The challenge is real and it is immediate. Government PPP was eaten up, just as it was supposed to be, by payroll and utilities early in the game. Curbside revenue doesn’t begin to cover the day-to-day expenses like rent, payroll, utilities, insurance and all the other costs of doing business. Until we can safely open our doors again, and I just don’t know when that will be, I most humbly ask you to help me get through.  My aim, my pledge to you remains the same as it’s ever been -  to offer the best in the world of books.  But Covid-19 is more formidable than anything we’ve ever faced.We’ve posted on our website over a hundred photos of the books on tables and shelves and will continue to do so until it’s safe for you to come in and browse. Safe for you, safe for me.  I know you understand.My predecessor started The Bookstore on a small loan from a family friend. That was 54 years ago.  I took over ten years later, and with your help, your devotion, and your commitment, we have made The Bookstore into an institution worthy of its reputation.  It’s yours as much as it is mine.None of us would even want to imagine it no longer being here.Our goal is to raise $60,000.  That will wipe out the shortfall from this spring and summer, and allow us to continue “serving the community since last Tuesday”.I thank you, as they say, madly, truly, deeply, for your support and look forward to many more years as your bookseller here at The Bookstore in Lenox.  And don’t be shy about sharing this link; we can use all the help we can get.Thanks for reading. Be well. Be safeMatt Tannenbaumhttp://bookstoreinlenox.com/#smallbusinessrelief"
Business,Help support the Bullfish Bar and Kitchen,"Baton Rouge, LA",125052.0,125000.0,194,1.8K,1.5K,"
I am an avid listener of The Daily podcast, and a child of parents that used to own a local family restaurant.  Jasmine’s story really hit home, and it’s clear she and her husband take such pride in their work and the food they serve to their community.  While she and her family are not alone in their struggles of a small business in Covid times, no one should have to make the choice between an income, their health and the health and safety of their family.If you were moved by Jasmine’s story, please help us support this local family business by giving them a bit of extra financial breathing room as the continue to face Covid.  And thank you Jasmine for sharing your moving story with the world.

Here is their story 
"
